# source_id,ra,dec,pmra,pmdec,x,y,vx,vy,plx,memberprob,pmcorr,pmrae,pmdece,plxe
4075694926207699200,283.737119,-22.726446,-3.1883,-5.0159,-0.0351,-0.025,-0.021379066265060143,0.0386259036144585,0.1843,0.99712,0.4037,0.0693,0.0637,0.053
4075694857488104832,283.760579,-22.741405,-3.0811,-4.9547,-0.0135,-0.0399,0.0858209337349396,0.09982590361445887,0.0998,0.99923,0.1864,0.0567,0.0486,0.042
4075694891833928192,283.769779,-22.736521,-3.2949,-5.2053,-0.005,-0.035,-0.1279790662650604,-0.1507740963855415,0.1401,0.97851,0.4934,0.2833,0.2647,0.2025
4075694926207665792,283.751511,-22.728836,-3.1807,-5.0108,-0.0218,-0.0274,-0.013779066265060091,0.04372590361445905,0.135,0.99924,0.5572,0.0757,0.0706,0.059
4075694926193948032,283.746303,-22.725724,-3.0556,-5.0512,-0.0266,-0.0243,0.11132093373493968,0.003325903614459058,-0.2059,0.97235,0.7168,0.4285,0.3947,0.25
4075694926207677568,283.748777,-22.72573,-2.6717,-4.7408,-0.0244,-0.0243,0.4952209337349398,0.3137259036144586,-0.062,0.95987,0.5001,0.2523,0.2372,0.185
4075694956254267392,283.756377,-22.724749,-3.2484,-5.039,-0.0173,-0.0233,-0.08147906626506041,0.015525903614459047,0.3161,0.98227,0.5808,0.2942,0.2955,0.1983
4075694887537588224,283.766348,-22.731996,-3.0756,-4.8355,-0.0081,-0.0305,0.09132093373493966,0.21902590361445906,0.0946,0.99588,0.4017,0.069,0.0633,0.0563
4075694891847844864,283.770155,-22.731261,-3.0964,-5.0738,-0.0046,-0.0298,0.07052093373493973,-0.01927409638554156,0.051,0.99764,0.386,0.1484,0.1378,0.1101
4075694891847852544,283.768809,-22.72886,-3.1238,-5.005,-0.0059,-0.0274,0.04312093373493964,0.049525903614458855,0.1195,0.99996,0.2699,0.0243,0.0222,0.0184
4075694887549478272,283.772013,-22.729211,-2.5804,-5.0245,-0.0029,-0.0277,0.5865209337349397,0.030025903614459004,-0.3238,0.95743,0.4336,0.3756,0.344,0.2687
4075694891847866368,283.762377,-22.727227,-3.0224,-4.9103,-0.0118,-0.0258,0.14452093373493957,0.14422590361445842,0.0487,0.99469,0.4685,0.1872,0.1748,0.1382
4075694891834013056,283.765512,-22.725695,-3.1323,-5.3488,-0.0089,-0.0242,0.03462093373493991,-0.29427409638554103,0.0533,0.98021,0.4706,0.2964,0.268,0.2092
4075694887531766400,283.765588,-22.725131,-3.0348,-4.932,-0.0088,-0.0237,0.1321209337349396,0.12252590361445836,0.0955,0.99911,0.296,0.0282,0.0258,0.0214
4075694887531775616,283.765456,-22.722472,-2.9373,-4.8324,-0.009,-0.021,0.22962093373493975,0.22212590361445894,0.099,0.99676,0.3678,0.0941,0.0868,0.0707
4075694891833984000,283.768866,-22.726788,-3.7193,-5.2791,-0.0058,-0.0253,-0.5523790662650603,-0.22457409638554093,0.2693,0.95869,0.3871,0.2834,0.2553,0.1985
4075694891833995264,283.767853,-22.726359,-2.7182,-4.6803,-0.0068,-0.0249,0.4487209337349398,0.37422590361445884,0.1535,0.96373,0.4095,0.4543,0.3979,0.3802
4075694891834013440,283.768098,-22.722415,-3.5242,-5.2387,-0.0065,-0.0209,-0.35727906626506023,-0.18417409638554094,-0.2059,0.9811,0.4234,0.4305,0.3749,0.3597
4075695677823000320,283.735806,-22.719826,-3.373,-5.1857,-0.0363,-0.0184,-0.20607906626506045,-0.131174096385541,0.0567,0.98146,0.3992,0.1534,0.141,0.1159
4075695716481691136,283.741433,-22.716319,-3.4121,-5.0631,-0.0311,-0.0148,-0.24517906626506036,-0.00857409638554163,-0.1333,0.96749,0.8415,0.4944,0.5122,0.2327
4075695746525284608,283.730759,-22.709411,-3.3375,-5.2364,-0.041,-0.0079,-0.17057906626506014,-0.18187409638554097,0.1627,0.9708,0.4395,0.1437,0.1333,0.1064
4075695785187628800,283.730286,-22.704384,-3.2642,-5.1299,-0.0414,-0.0029,-0.09727906626506044,-0.07537409638554138,0.3501,0.95212,0.4774,0.2207,0.2045,0.1597
4075695716468072832,283.740411,-22.710821,-2.9314,-5.1665,-0.0321,-0.0094,0.23552093373493976,-0.11197409638554134,-0.5458,0.96775,0.5435,0.3547,0.3276,0.2458
4075695716468093952,283.74448,-22.702933,-3.2409,-4.75,-0.0283,-0.0015,-0.07397906626506012,0.30452590361445875,0.1194,0.96053,0.4612,0.4096,0.3963,0.3643
4075695712165573376,283.745237,-22.70278,-3.2155,-5.0077,-0.0276,-0.0013,-0.048579066265060256,0.04682590361445893,0.1219,0.99959,0.3414,0.058,0.0528,0.0446
4075694960567410944,283.756841,-22.720331,-2.9891,-4.8749,-0.0169,-0.0189,0.17782093373493968,0.17962590361445852,-0.0077,0.99547,0.5429,0.235,0.234,0.1652
4075694960553745152,283.750396,-22.714443,-2.8785,-4.7883,-0.0229,-0.013,0.28842093373493993,0.2662259036144592,0.1026,0.98832,0.5564,0.2971,0.2767,0.2104
